max_depth_param,actual_depth,acc_train,acc_test,f1_test,auc_test,gen_gap,nodes,leaves
2,2,0.8259966655941969,0.8274073568552515,0.5341683551298582,0.8017938951084176,-0.0014106912610545308,7,4
4,4,0.8436924156892568,0.8462430901521872,0.6170321264660887,0.8710779598326385,-0.0025506744629304468,31,16
6,6,0.8543976132674252,0.855592711390159,0.6403806934058464,0.8924851096616797,-0.0011950981227337731,103,52
8,8,0.8602181988358829,0.8564116563161127,0.6366148531951641,0.9022700374311226,0.003806542519770195,277,139
12,12,0.879347158442774,0.8552514843376783,0.686196182867288,0.8855182373028672,0.02409567410509572,1233,617
20,20,0.9527625844569891,0.8275438476762438,0.6308254200146092,0.7992875354305536,0.12521873678074535,6365,3183
Máx,41,0.9999415016525783,0.8146454650924725,0.6139852188743604,0.7467169277688287,0.18529603656010585,10199,5100
